Table,FeedColumnName,OdsColumnName,DataType,NullIfEmpty,NullAllowed,Format,DefaultValue
Joined_Finance_Saccr_Report,LEGAL_NAME,LEGAL_NAME,String,N,N,,
Joined_Finance_Saccr_Report,RISK_RTG,RISK_RTG,String,N,N,,
Joined_Finance_Saccr_Report,SIC_CAD_CD,SIC_CAD_CD,String,N,N,,
Joined_Finance_Saccr_Report,SIC_US_CD,SIC_US_CD,String,N,N,,
Joined_Finance_Saccr_Report,NAICS_CD,NAICS_CD,String,N,N,,
Joined_Finance_Saccr_Report,NIC_CD,NIC_CD,String,N,N,,
Joined_Finance_Saccr_Report,SME_IND,SME_IND,String,N,N,,
Joined_Finance_Saccr_Report,PD,PD,String,N,N,,
Joined_Finance_Saccr_Report,TOTAL_ANNUAL_SALES_CCY,TOTAL_ANNUAL_SALES_CCY,String,N,N,,
Joined_Finance_Saccr_Report,TOTAL_ANNUAL_SALES_AMT,TOTAL_ANNUAL_SALES_AMT,String,N,N,,
Joined_Finance_Saccr_Report,RISK_RTG_SYSTEM,RISK_RTG_SYSTEM,String,N,N,,
Joined_Finance_Saccr_Report,AVC_IND,AVC_IND,String,N,N,,
Joined_Finance_Saccr_Report,RISK_RTG_MODEL,RISK_RTG_MODEL,String,N,N,,
Joined_Finance_Saccr_Report,COUNTRY_OF_RESIDENCE,COUNTRY_OF_RESIDENCE,String,N,N,,
Joined_Finance_Saccr_Report,PROV_OF_RESIDENCE,PROV_OF_RESIDENCE,String,N,N,,
Joined_Finance_Saccr_Report,MASTER_SCALE,MASTER_SCALE,String,N,N,,
Joined_Finance_Saccr_Report,PRIMARY_CONNECTION_UEN,PRIMARY_CONNECTION_UEN,String,N,N,,
Joined_Finance_Saccr_Report,DEFAULT_EXP_IND,DEFAULT_EXP_IND,String,N,N,,
Joined_Finance_Saccr_Report,CR_DRV_USED_FOR_CRM_IND,CR_DRV_USED_FOR_CRM_IND,String,N,N,,
Joined_Finance_Saccr_Report,QLFY_TXN_CDS_IND,QLFY_TXN_CDS_IND,String,N,N,,
Joined_Finance_Saccr_Report,FACILITY_AUTH_AMT,FACILITY_AUTH_AMT,String,N,N,,
Joined_Finance_Saccr_Report,FACILITY_PRIMARY_BORROWER_IND,FACILITY_PRIMARY_BORROWER_IND,String,N,N,,
Joined_Finance_Saccr_Report,PRIMARY_GUARANTOR_UEN,PRIMARY_GUARANTOR_UEN,String,N,N,,
Joined_Finance_Saccr_Report,BSL_CREDIT_RISK_APPROACH,BSL_CREDIT_RISK_APPROACH,String,N,N,,
Joined_Finance_Saccr_Report,WAIVER_EXEMP_PORTFOLIO_CD,WAIVER_EXEMP_PORTFOLIO_CD,String,N,N,,
Joined_Finance_Saccr_Report,FIRB_LGD,FIRB_LGD,String,N,N,,
Joined_Finance_Saccr_Report,AIRB_LGD,AIRB_LGD,String,N,N,,
Joined_Finance_Saccr_Report,STND_RW,STND_RW,String,N,N,,
Joined_Finance_Saccr_Report,STND_RW_NON_QCCP,STND_RW_NON_QCCP,String,N,N,,
Joined_Finance_Saccr_Report,STND_RW_SCENARIO,STND_RW_SCENARIO,String,N,N,,
Joined_Finance_Saccr_Report,BORROWER_EXT_RTG,BORROWER_EXT_RTG,String,N,N,,
Joined_Finance_Saccr_Report,BORROWER_EXT_RTG_NAME,BORROWER_EXT_RTG_NAME,String,N,N,,
Joined_Finance_Saccr_Report,BORROWER_EXT_RTG_SP_EQUIV,BORROWER_EXT_RTG_SP_EQUIV,String,N,N,,
Joined_Finance_Saccr_Report,FIRB_RW,FIRB_RW,String,N,N,,
Joined_Finance_Saccr_Report,AIRB_RW,AIRB_RW,String,N,N,,
Joined_Finance_Saccr_Report,RWA_R_FACTOR,RWA_R_FACTOR,String,N,N,,
Joined_Finance_Saccr_Report,RWA_K_FACTOR,RWA_K_FACTOR,String,N,N,,
Joined_Finance_Saccr_Report,RWA_B_FACTOR,RWA_B_FACTOR,String,N,N,,
Joined_Finance_Saccr_Report,RWA_M_FACTOR,RWA_M_FACTOR,String,N,N,,
Joined_Finance_Saccr_Report,EXPECTED_LOSS,EXPECTED_LOSS,String,N,N,,
Joined_Finance_Saccr_Report,REG_CAPITAL,REG_CAPITAL,String,N,N,,
Joined_Finance_Saccr_Report,REG_CAPITAL_DERV,REG_CAPITAL_DERV,String,N,N,,
Joined_Finance_Saccr_Report,STND_RWA,STND_RWA,String,N,N,,
Joined_Finance_Saccr_Report,FIRB_RWA,FIRB_RWA,String,N,N,,
Joined_Finance_Saccr_Report,AIRB_RWA,AIRB_RWA,String,N,N,,
Joined_Finance_Saccr_Report,RWA,RWA,String,N,N,,
Joined_Finance_Saccr_Report,saccr_OSFI_INSTRUMENT_TYPE,saccr_OSFI_INSTRUMENT_TYPE,String,N,N,,
Joined_Finance_Saccr_Report,saccr_PRODUCT_SUB_TYPE_CODE,saccr_PRODUCT_SUB_TYPE_CODE,String,N,N,,
Joined_Finance_Saccr_Report,saccr_PRODUCT_GROUP,saccr_PRODUCT_GROUP,String,N,N,,
Joined_Finance_Saccr_Report,QCCP_RWA_CAP_IND,QCCP_RWA_CAP_IND,String,N,N,,
Joined_Finance_Saccr_Report,SACVA_IND,SACVA_IND,String,N,N,,
Joined_Finance_Saccr_Report,TOT_ANN_SLS_AMT_CAD,TOT_ANN_SLS_AMT_CAD,String,N,N,,
Joined_Finance_Saccr_Report,ReportDate,ReportDate,String,N,N,,
Joined_Finance_Saccr_Report,SourceSystem,SourceSystem,String,N,N,,
Joined_Finance_Saccr_Report,SourceTradeId,SourceTradeId,String,N,N,,
Joined_Finance_Saccr_Report,AssetLiabilityCode,AssetLiabilityCode,String,N,N,,
Joined_Finance_Saccr_Report,finance_GL,finance_GL,String,N,N,,
Joined_Finance_Saccr_Report,GLType,GLType,String,N,N,,
Joined_Finance_Saccr_Report,RespCentre,RespCentre,String,N,N,,
Joined_Finance_Saccr_Report,BookingTransit,BookingTransit,String,N,N,,
Joined_Finance_Saccr_Report,Currency,Currency,String,N,N,,
Joined_Finance_Saccr_Report,SourceProductCode,SourceProductCode,String,N,N,,
Joined_Finance_Saccr_Report,ProductCategoryCode,ProductCategoryCode,String,N,N,,
Joined_Finance_Saccr_Report,InstrumentType,InstrumentType,String,N,N,,
Joined_Finance_Saccr_Report,FSProduct,FSProduct,String,N,N,,
Joined_Finance_Saccr_Report,FSProductGroup,FSProductGroup,String,N,N,,
Joined_Finance_Saccr_Report,BuySellCode,BuySellCode,String,N,N,,
Joined_Finance_Saccr_Report,ClearanceType,ClearanceType,String,N,N,,
Joined_Finance_Saccr_Report,LegalEntity,LegalEntity,String,N,N,,
Joined_Finance_Saccr_Report,LOB,LOB,String,N,N,,
Joined_Finance_Saccr_Report,CounterpartyAdaptiveCode,CounterpartyAdaptiveCode,String,N,N,,
Joined_Finance_Saccr_Report,CounterpartyFullName,CounterpartyFullName,String,N,N,,
Joined_Finance_Saccr_Report,IntExtCode,IntExtCode,String,N,N,,
Joined_Finance_Saccr_Report,CDE_NPV,CDE_NPV,String,N,N,,
Joined_Finance_Saccr_Report,TC_NPV,TC_NPV,String,N,N,,
Joined_Finance_Saccr_Report,Notional_Currency,Notional_Currency,String,N,N,,
Joined_Finance_Saccr_Report,TC_Notional_Value,TC_Notional_Value,String,N,N,,
Joined_Finance_Saccr_Report,CDE_Notional_Value,CDE_Notional_Value,String,N,N,,
Joined_Finance_Saccr_Report,MaturityDate,MaturityDate,String,N,N,,
Joined_Finance_Saccr_Report,ClearingHouseFlag,ClearingHouseFlag,String,N,N,,
Joined_Finance_Saccr_Report,UTI,UTI,String,N,N,,
Joined_Finance_Saccr_Report,SwapOne_SwapId,SwapOne_SwapId,String,N,N,,
Joined_Finance_Saccr_Report,WS_Transaction_ID,WS_Transaction_ID,String,N,N,,
Joined_Finance_Saccr_Report,finance_OSFI_INSTRUMENT_TYPE,finance_OSFI_INSTRUMENT_TYPE,String,N,N,,
Joined_Finance_Saccr_Report,finance_PRODUCT_SUB_TYPE_CD,finance_PRODUCT_SUB_TYPE_CD,String,N,N,,
Joined_Finance_Saccr_Report,finance_PRODUCT_GROUP,finance_PRODUCT_GROUP,String,N,N,,
