Table,FeedColumnName,OdsColumnName,DataType,NullIfEmpty,NullAllowed,Format,DefaultValue
SACCR_Report_OSFI_BFG_NEW,BUS_DATE,BUS_DATE,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,RUN_ID,RUN_ID,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,EXPR_RUN_ID,EXPR_RUN_ID,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CALC_TYPE,CALC_TYPE,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,REPORTING_CCY,REPORTING_CCY,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,FX_SRC,FX_SRC,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,REGIME_LEGAL_ENTITY,REGIME_LEGAL_ENTITY,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,SRC_SYS_CD,SRC_SYS_CD,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,TRADE_ID,TRADE_ID,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,DUMMY_IND,DUMMY_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,SWWR_IND,SWWR_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CLNT_TRADE_IND,CLNT_TRADE_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CLNT_LEG_IND,CLNT_LEG_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CCP_IND,CCP_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,QCCP_IND,QCCP_IND,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,BUY_SELL_CD,BUY_SELL_CD,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,INT_EXT_CD,INT_EXT_CD,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,PRODUCT_ID,PRODUCT_ID,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,PRODUCT,PRODUCT,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CPTY_CD,CPTY_CD,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,LEGL_ENTITY_CD,LEGL_ENTITY_CD,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,RESP_CENTRE,RESP_CENTRE,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,TRANSIT,TRANSIT,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,CAPITAL_TREATMENT,CAPITAL_TREATMENT,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,GL,saccr_GL,String,N,N,,
SACCR_Report_OSFI_BFG_NEW,NETG_REF,NETG_REF,String,N,N,,
